,start,end,rsp_sex,rsp_age,fcs_staples,fcs_pulses,fcs_dairy,fcs_proteins,fcs_flesh_meat,fcs_organ_meat,fcs_fish,fcs_eggs,fcs_veg,fcs_orange_veg,fcs_green_veg,fcs_fruits,fcs_orange_fruit,fcs_fats,fcs_sugars,fcs_condiments,rcsi_meal_adult,rcsi_meal_size,rcsi_meal_nb,rcsi_no_eat
35,2021-05-12T09:36:55.346-06:00,2021-05-12T10:00:04.775-06:00,2,35,7,7,7,7,2,2,0,7,5,5,5,7,7,7,7,7,0,0,0,0
36,2021-05-12T10:12:09.040-06:00,2021-05-12T13:56:52.537-06:00,1,87,7,7,7,5,2,0,1,5,1,1,1,4,1,7,7,7,0,0,0,0
37,2021-05-12T07:23:56.821-06:00,2021-05-12T13:55:29.509-06:00,1,74,7,7,7,3,2,0,1,0,2,2,2,7,7,7,7,7,0,0,0,0
38,2021-05-12T11:44:02.943-06:00,2021-05-12T12:08:25.922-06:00,1,50,7,7,7,5,1,0,1,2,7,7,7,7,7,7,7,7,0,0,0,0
39,2021-05-12T11:06:13.602-06:00,2021-05-12T11:43:57.317-06:00,1,25,7,7,7,5,3,0,1,1,7,5,2,7,7,7,7,7,0,2,0,0
40,2021-05-12T10:44:14.126-06:00,2021-05-12T11:06:09.038-06:00,2,42,7,7,7,7,3,0,4,3,7,7,0,7,7,7,7,3,0,0,0,0
41,2021-05-12T09:44:38.062-06:00,2021-05-12T10:27:19.631-06:00,1,50,7,7,2,5,3,1,0,2,3,3,1,1,1,7,7,7,0,0,0,0
42,2021-05-12T11:14:31.073-06:00,2021-05-12T11:40:00.858-06:00,1,18,7,7,7,4,4,0,1,3,0,0,0,1,1,7,7,7,0,0,0,0
43,2021-05-12T10:46:32.053-06:00,2021-05-12T11:14:26.616-06:00,1,61,7,6,3,7,3,1,1,7,7,7,2,5,2,7,0,7,0,0,0,0
44,2021-05-12T10:10:44.218-06:00,2021-05-12T10:46:27.579-06:00,1,42,7,3,7,7,2,0,2,7,5,5,3,2,2,7,7,7,0,0,0,0
45,2021-05-12T09:43:24.141-06:00,2021-05-12T10:10:37.502-06:00,1,68,7,7,7,7,4,0,1,7,7,7,3,7,7,7,7,7,0,0,0,0
46,2021-05-12T11:26:37.990-06:00,2021-05-12T11:49:25.758-06:00,2,68,7,7,1,7,0,0,0,7,0,0,0,7,7,7,0,7,0,4,1,0
47,2021-05-12T10:58:57.401-06:00,2021-05-12T11:18:59.863-06:00,2,61,7,7,7,7,1,0,1,7,7,7,7,7,7,7,7,7,0,0,0,0
48,2021-05-12T10:25:15.531-06:00,2021-05-12T10:58:48.681-06:00,1,57,7,7,7,7,0,0,1,7,7,7,7,7,7,7,2,7,0,0,0,0
49,2021-05-12T09:43:40.894-06:00,2021-05-12T10:25:00.022-06:00,1,44,6,5,6,7,2,0,0,7,7,7,7,0,0,7,7,7,0,0,0,0
50,2021-05-12T11:39:55.991-06:00,2021-05-12T11:54:21.772-06:00,2,73,7,7,2,7,0,0,0,7,1,1,1,7,7,7,7,7,0,3,0,0
51,2021-05-12T11:08:02.450-06:00,2021-05-12T11:37:02.110-06:00,1,40,7,7,3,7,2,0,0,7,1,1,0,7,7,7,7,7,0,0,0,0
